Rank,Player,Team,Position,"FHG Value","Games Played",W,SO,SV%,G,A,+/-,PIM,SOG,PPP,BKS
631,"Michael Bournival",MTL,LW,-83,55," "," "," ",6,6,-10,18,67,3,39
632,"David Jones",CGY,RW,-83,48," "," "," ",9,8,1,10,104,2,31
633,"Chris Summers",ARI,D,-84,18," "," "," ",2,1,0,15,17,0,25
634,"Colton Orr",TOR,RW,-84,54," "," "," ",0,0,-3,110,12,0,10
635,"Mike Komisarek",CAR,D,-84,32," "," "," ",0,4,-4,14,20,0,27
636,"Colton Sceviour",DAL,C,-84,26," "," "," ",8,4,-3,4,69,2,16
637,"Alexander Sulzer",BUF,D,-84,25," "," "," ",0,2,-3,8,21,0,44
638,"Jeremy Morin",CHI,LW,-85,24," "," "," ",5,6,5,32,46,0,2
639,"Paul Postma",WPG,D,-85,20," "," "," ",1,2,1,8,19,0,29
640,"Luke Glendening",DET,C,-85,56," "," "," ",1,6,-8,22,54,0,38
641,"Alexander Urbom",NJD,D,-85,20," "," "," ",1,1,1,19,16,0,13
642,"Nathan Beaulieu",MTL,D,-85,17," "," "," ",0,2,6,8,15,0,20
643,"Justin Falk",MIN,D,-86,21," "," "," ",0,2,-5,20,10,0,28
644,"Ville Leino",BUF,C/LW,-87,58," "," "," ",0,15,-16,10,38,4,25
645,"Craig Adams",PIT,RW,-87,81," "," "," ",5,6,-15,46,72,0,57
646,"Chad Ruhwedel",BUF,D,-88,21," "," "," ",0,1,-3,2,35,1,29
647,"Drayson Bowman",CAR,LW,-88,68," "," "," ",4,8,-3,12,79,0,18
648,"Rasmus Ristolainen",BUF,D,-88,34," "," "," ",2,2,-15,6,52,0,32
649,"J.t. Brown",TBL,RW,-88,63," "," "," ",4,15,-9,6,113,1,32
650,"Frazer McLaren",TOR,LW,-88,27," "," "," ",0,0,-2,77,4,0,3
651,"Matt D'Agostini",BUF,RW,-89,57," "," "," ",5,7,-15,26,110,2,40
652,"Krystofer Barch",FLA,RW,-89,55," "," "," ",0,4,-10,99,19,0,6
653,"Aaron Rome",DAL,D,-89,25," "," "," ",0,1,-6,11,15,0,38
654,"Jimmy Hayes",FLA,RW,-89,55," "," "," ",11,7,-5,18,72,4,19
655,"Nathan Horton",CBJ,RW,-89,35," "," "," ",4,14,-3,24,48,4,14
656,"Kevin Czuczman",NYI,D,-89,13," "," "," ",0,2,-5,14,24,0,13
657,"Matt Gilroy",FLA,D,-90,16," "," "," ",1,1,-2,6,27,0,18
658,"Matt Pelech",SJS,D,-90,6," "," "," ",1,0,1,22,3,0,1
659,"Michal Neuvirth",BUF,G,-90,16,4,0,0.921," "," "," "," "," "," "," "
660,"Radek Martinek",NYI,D,-90,13," "," "," ",0,3,4,4,12,0,9
661,"J.t. Miller",NYR,C,-90,30," "," "," ",3,3,-6,18,46,2,17
662,"Matt Kassian",OTT,LW,-90,33," "," "," ",1,1,-1,63,12,0,3
663,"Radek Dvorak",CAR,RW,-91,59," "," "," ",4,5,4,39,52,0,25
664,"Steve Bernier",NJD,RW,-92,78," "," "," ",3,9,-15,33,104,1,23
665,"Jonas Gustavsson",DET,G,-92,28,16,0,0.907," "," "," "," "," "," "," "
666,"Daniel Cleary",DET,LW/RW,-92,52," "," "," ",4,4,-11,31,64,0,17
667,"Corey Tropp",CBJ,RW,-92,53," "," "," ",2,9,3,37,35,0,28
668,"David Rundblad",CHI,D,-92,17," "," "," ",0,1,-4,6,21,1,14
669,"Tomas Kopecky",FLA,RW,-93,49," "," "," ",4,8,0,18,95,0,19
670,"Kevin Westgarth",CGY,RW,-93,48," "," "," ",4,3,-4,68,31,0,10
671,"Mike Hoffman",OTT,C/LW,-93,25," "," "," ",3,3,-2,2,61,3,7
672,"Colby Robak",FLA,D,-93,16," "," "," ",0,2,-4,6,15,0,19
673,"Aaron Ness",NYI,D,-93,20," "," "," ",1,2,-13,10,23,0,26
674,"Tomas Jurco",DET,RW,-93,36," "," "," ",8,7,0,14,77,3,9
675,"Frank Corrado",VAN,D,-93,15," "," "," ",1,0,-2,4,20,0,17
676,"Matt Ellis",BUF,C/LW,-93,50," "," "," ",4,2,-6,4,70,0,24
677,"Tyler Wotherspoon",CGY,D,-93,14," "," "," ",0,4,-3,4,3,0,17
678,"Alex Petrovic",FLA,D,-94,7," "," "," ",0,1,3,8,4,0,5
679,"Jake Mccabe",BUF,D,-94,7," "," "," ",0,1,-3,15,1,0,10
680,"Zach Redmond",COL,D,-94,10," "," "," ",1,2,1,0,10,0,11
681,"Brayden McNabb",LAK,D,-94,12," "," "," ",0,0,1,6,10,0,12
682,"Ryan White",PHI,RW,-94,52," "," "," ",2,4,-8,50,51,0,37
683,"Colin Fraser",STL,C,-94,33," "," "," ",0,2,-4,30,22,0,20
684,"Keith Aulie",EDM,D,-94,15," "," "," ",0,1,-3,9,6,0,15
685,"Colin McDonald",NYI,RW,-95,70," "," "," ",8,10,-22,34,96,0,15
686,"Oscar Klefbom",EDM,D,-95,17," "," "," ",1,2,-6,0,14,0,25
687,"Christopher Breen",BOS,D,-95,9," "," "," ",0,2,1,5,4,0,7
688,"Patrick Wey",WSH,D,-95,9," "," "," ",0,3,0,5,5,0,4
689,"Julien Brouillette",WPG,D,-95,10," "," "," ",1,1,3,0,4,0,11
690,"Magnus Paajarvi",STL,LW,-95,55," "," "," ",6,6,-6,6,60,0,24
691,"Calle Jarnkrok",NSH,C,-95,12," "," "," ",2,7,7,4,13,1,4
692,"Sven Baertschi",CGY,LW,-95,26," "," "," ",2,9,-4,6,30,4,19
693,"Emerson Etem",ANA,LW/RW,-95,29," "," "," ",7,4,3,4,44,1,13
694,"Peter Budaj",MTL,G,-95,25,10,1,0.909," "," "," "," "," "," "," "
695,"Aaron Volpatti",WSH,LW,-95,41," "," "," ",2,0,-3,49,18,0,10
696,"Troy Bodie",TOR,RW,-96,47," "," "," ",3,7,6,26,50,0,19
697,"Cameron Gaunce",DAL,D,-96,9," "," "," ",0,0,1,7,9,0,4
698,"Jack Hillen",WSH,D,-96,13," "," "," ",0,1,-4,4,12,0,16
699,"Brandon Gormley",ARI,D,-96,5," "," "," ",0,0,4,2,4,0,8
700,"Will Acton",EDM,C,-96,30," "," "," ",3,2,-2,21,18,0,14
701,"Brian Dumoulin",PIT,D,-96,6," "," "," ",0,1,1,4,3,0,8
702,"Petr Mrazek",DET,G,-97,10,2,2,0.927," "," "," "," "," "," "," "
703,"David Warsofsky",BOS,D,-97,6," "," "," ",1,1,1,0,10,0,4
704,"Jonathon Blum",MIN,D,-97,15," "," "," ",0,1,-1,0,11,0,13
705,"James Wright",WPG,C,-97,59," "," "," ",0,2,-3,15,41,0,20
706,"Mathew Dumba",MIN,D,-97,9," "," "," ",1,1,-2,2,9,1,2
707,"Alex Tanguay",COL,LW/RW,-97,16," "," "," ",4,7,7,4,24,1,8
708,"Alex Grant",OTT,D,-97,2," "," "," ",2,0,3,2,2,0,0
709,"Trevor Smith",TOR,C,-97,28," "," "," ",4,5,-3,4,24,1,16
710,"Zac Dalpe",BUF,C/RW,-97,55," "," "," ",4,3,-7,6,52,1,9
711,"Bracken Kearns",SJS,C,-97,25," "," "," ",3,2,-2,6,37,1,16
712,"Evgeny Kuznetsov",WSH,C/LW,-97,17," "," "," ",3,6,-2,6,22,2,2
713,"Eric Tangradi",WPG,LW,-97,55," "," "," ",3,3,-6,21,52,0,17
714,"Denis Grebeshkov",EDM,D,-97,7," "," "," ",0,1,0,2,3,0,9
715,"Scott Mayfield",NYI,D,-98,5," "," "," ",0,0,-3,7,7,0,8
716,"Richard Panik",TBL,RW,-98,50," "," "," ",3,10,-9,21,56,4,16
717,"Chad Billins",CGY,D,-98,10," "," "," ",0,3,-3,0,3,0,9
718,"Patrik Nemeth",DAL,D,-98,8," "," "," ",0,0,-3,6,3,0,11
719,"Tom Pyatt",TBL,C,-98,27," "," "," ",3,4,-2,4,27,0,20
720,"Quinton Howden",FLA,C,-99,16," "," "," ",4,2,0,10,23,0,11
721,"George Parros",MTL,RW,-99,22," "," "," ",0,1,-6,85,4,0,5
722,"Cody Goloubef",CBJ,D,-99,5," "," "," ",0,0,0,2,4,0,7
723,"Andrew Alberts",VAN,D,-99,10," "," "," ",0,0,1,0,5,0,7
724,"Drew Shore",FLA,C,-99,24," "," "," ",5,2,-1,8,23,1,5
725,"Christian Folin",MIN,D,-99,1," "," "," ",0,1,3,0,0,0,0
726,"Brad Malone",CAR,C,-99,32," "," "," ",3,2,-4,23,16,0,5
727,"Taylor Fedun",SJS,D,-99,4," "," "," ",2,0,-1,0,6,0,3
728,"Reid Boucher",NJD,C,-99,23," "," "," ",2,5,2,4,27,0,5
729,"Jamie Oleksiak",DAL,D,-99,7," "," "," ",0,0,-3,2,5,0,14
730,"Torrey Mitchell",BUF,RW,-99,67," "," "," ",2,8,-3,25,56,0,25
731,"Anthony Peluso",WPG,RW,-99,53," "," "," ",2,3,-5,65,24,0,3
732,"Dylan McIlrath",NYR,D,-99,2," "," "," ",0,0,-1,7,0,0,1
733,"Eric O'dell",WPG,C,-99,30," "," "," ",3,4,-2,10,17,0,12
734,"Tim Erixon",CBJ,D,-99,2," "," "," ",0,0,2,2,1,0,1
735,"Brandon McMillan",ARI,C,-99,22," "," "," ",2,4,0,4,35,0,7
736,"Matt Taormina",CBJ,D,-100,7," "," "," ",0,0,0,0,6,0,6
737,"Hal Gill",PHI,D,-100,6," "," "," ",0,0,0,2,1,0,6
738,"Tim Kennedy",ARI,LW,-100,37," "," "," ",2,6,0,4,42,0,21
739,"Alexey Marchenko",DET,D,-100,1," "," "," ",0,0,2,2,0,0,0
740,"Dmitry Korobov",TBL,D,-100,3," "," "," ",0,1,0,2,0,0,0
741,"Maxime Fortunus",DAL,D,-100,1," "," "," ",0,1,1,0,0,0,1
742,"Xavier Ouellet",DET,D,-100,4," "," "," ",0,0,0,2,4,0,1
743,"Philip Samuelsson",PIT,D,-100,5," "," "," ",0,0,-1,0,5,0,7
744,"Ryan Whitney",FLA,D,-100,7," "," "," ",0,0,-7,6,8,0,10
745,"Karl Stollery",COL,D,-100,2," "," "," ",0,0,1,2,1,0,0
746,"Nikita Zadorov",BUF,D,-101,7," "," "," ",1,0,-4,4,4,0,3
747,"Nolan Yonkman",ANA,D,-101,2," "," "," ",0,1,-1,0,3,0,2
748,"Blair Jones",PHI,C,-101,14," "," "," ",2,0,0,21,14,0,5
749,"Stefan Elliott",COL,D,-101,1," "," "," ",1,0,0,0,1,0,0
750,"Jonathan Racine",FLA,D,-101,1," "," "," ",0,0,-1,2,0,0,4
751,"Mike Mottau",FLA,D,-101,8," "," "," ",0,0,-3,4,1,0,5
752,"Joe Piskula",NSH,D,-101,2," "," "," ",0,0,1,0,2,0,0
753,"Ryan Sproul",DET,D,-101,1," "," "," ",0,0,0,0,3,0,2
754,"Andrew Campbell",ARI,D,-101,3," "," "," ",0,0,0,0,4,0,1
755,"Tanner Pearson",LAK,LW,-101,25," "," "," ",3,4,2,8,31,1,9
756,"Vincent Trocheck",FLA,C,-101,20," "," "," ",5,3,-11,6,38,1,11
757,"Zach Trotman",BOS,D,-101,2," "," "," ",0,0,0,0,4,0,0
758,"Adam Almquist",DET,D,-101,2," "," "," ",1,0,-1,0,2,0,0
759,"Matt Hunwick",NYR,D,-101,1," "," "," ",0,0,0,0,1,0,2
760,"Stephen Weiss",DET,C,-101,26," "," "," ",2,2,-4,12,28,0,10
761,"Johan Larsson",BUF,LW,-102,28," "," "," ",0,4,0,19,21,0,19
762,"Petter Granberg",TOR,D,-102,1," "," "," ",0,0,0,0,0,0,1
763,"Conor Allen",NYR,D,-102,3," "," "," ",0,0,-1,0,2,0,1
764,"Stephane Veilleux",MIN,LW,-102,34," "," "," ",3,0,-2,21,26,0,20
765,"Julian Melchiori",WPG,D,-103,1," "," "," ",0,0,-1,0,0,0,1
766,"Mike Halmo",NYI,LW,-103,20," "," "," ",1,0,-1,32,25,0,4
767,"Jason Zucker",MIN,LW,-103,21," "," "," ",4,1,2,2,40,2,11
768,"Mark Cundari",CGY,D,-103,4," "," "," ",0,0,-4,0,6,0,4
769,"Mike Rupp",MIN,C,-103,13," "," "," ",0,1,1,23,6,0,0
770,"Yann Sauve",VAN,D,-103,3," "," "," ",0,0,-2,0,1,0,2
771,"Cameron Schilling",WSH,D,-103,1," "," "," ",0,0,-2,0,2,0,0
772,"Derek Smith",CGY,D,-103,14," "," "," ",0,1,-10,2,12,0,6
773,"Matt Dumba",MIN,D,-103,4," "," "," ",0,0,-3,0,3,0,1
774,"Jean-gabriel Pageau",OTT,C,-103,28," "," "," ",2,0,-5,12,31,0,12
775,"Brad Hunt",EDM,D,-103,3," "," "," ",0,0,-3,0,1,0,2
776,"Stephane Da Costa",OTT,C,-104,12," "," "," ",3,1,2,2,20,1,3
777,"Filip Forsberg",NSH,C/RW,-104,13," "," "," ",1,4,-8,4,20,4,2
778,"Adam Hall",PHI,RW,-104,80," "," "," ",4,5,-15,23,61,0,46
779,"Ben Chiarot",WPG,D,-104,1," "," "," ",0,0,-3,0,0,0,0
780,"Nicklas Jensen",VAN,LW/RW,-104,17," "," "," ",3,3,-1,10,30,1,6
781,"Chris Brown",WSH,C,-104,12," "," "," ",1,1,0,17,8,0,1
782,"Michael Latta",WSH,C,-105,17," "," "," ",1,3,0,12,6,0,2
783,"Marc-andre Cliche",COL,RW,-105,76," "," "," ",1,6,-11,17,69,0,42
784,"John Gibson",ANA,G,-105,4,3,1,0.954," "," "," "," "," "," "," "
785,"Colton Sissons",NSH,C,-105,17," "," "," ",1,3,0,4,13,0,9
786,"Jordan Schroeder",MIN,C,-105,25," "," "," ",3,3,-7,2,25,1,8
787,"Derek Grant",OTT,C,-105,20," "," "," ",0,2,-3,4,31,0,11
788,"Jared Boll",CBJ,RW,-105,28," "," "," ",1,1,-6,62,12,0,9
789,"Matthew Nieto",SJS,LW,-105,19," "," "," ",2,4,0,2,33,1,10
790,"Jacob Josefson",NJD,C,-106,27," "," "," ",1,2,0,4,21,0,4
791,"Pekka Rinne",NSH,G,-106,24,10,2,0.902," "," "," "," "," "," "," "
792,"Zach Sill",PIT,C,-106,20," "," "," ",0,0,-4,12,14,0,18
793,"Tim Sestito",NJD,C,-106,16," "," "," ",0,3,1,2,13,0,9
794,"Ray Emery",PHI,G,-107,29,9,2,0.903," "," "," "," "," "," "," "
795,"Joakim Nordstrom",CHI,C,-107,16," "," "," ",1,2,-2,2,26,0,7
796,"Patrice Cormier",WPG,C,-107,9," "," "," ",0,3,2,7,4,0,3
797,"Dustin Jeffrey",VAN,C,-107,33," "," "," ",2,2,-4,2,30,0,5
798,"Taylor Pyatt",PIT,LW,-107,56," "," "," ",4,1,-24,20,52,1,28
799,"Andy Miele",DET,C,-107,7," "," "," ",0,2,4,5,6,0,2
800,"Jim Slater",WPG,C,-107,27," "," "," ",1,1,-5,8,24,0,7
801,"Rickard Rakell",ANA,C,-107,18," "," "," ",0,4,-3,2,22,0,4
802,"Matt Halischuk",WPG,RW,-108,46," "," "," ",5,5,-3,6,56,0,27
803,"Jesse Joensuu",EDM,LW,-108,42," "," "," ",3,2,-16,16,41,1,18
804,"Cory Emmerton",DET,C,-108,18," "," "," ",0,2,-2,4,22,0,5
805,"Jeremy Welsh",STL,C/LW,-109,19," "," "," ",1,0,-1,6,13,0,8
806,"Dustin Tokarski",MTL,G,-109,4,2,1,0.946," "," "," "," "," "," "," "
807,"Mikhail Grigorenko",BUF,C,-109,18," "," "," ",2,1,-3,2,20,0,5
808,"Johan Sundstrom",NYI,C,-109,11," "," "," ",0,1,0,6,13,0,2
809,"Markus Granlund",CGY,C,-110,7," "," "," ",2,1,2,0,9,0,1
810,"Raffi Torres",SJS,LW,-110,5," "," "," ",3,2,4,7,9,0,2
811,"Ben Street",COL,C,-110,13," "," "," ",0,1,-2,4,17,0,6
812,"Chris VandeVelde",PHI,C,-110,18," "," "," ",0,1,-3,6,8,1,6
813,"Jordan Caron",BOS,RW,-110,35," "," "," ",1,2,-8,36,52,0,9
814,"Luke Adam",BUF,C,-110,12," "," "," ",1,0,0,4,16,0,1
815,"Kellan Lain",VAN,LW,-110,9," "," "," ",1,0,1,21,7,0,1
816,"Matt Frattin",CBJ,RW,-110,44," "," "," ",2,5,-4,11,61,1,11
817,"Michael Chaput",CBJ,C,-110,17," "," "," ",0,1,0,2,6,0,10
818,"Louis Leblanc",ANA,C,-110,8," "," "," ",0,0,1,4,7,0,7
819,"Philip Varone",BUF,C,-111,9," "," "," ",1,1,-3,4,15,0,2
820,"Max Reinhart",CGY,C,-111,8," "," "," ",0,2,1,2,7,0,0
821,"Beau Bennett",PIT,LW/RW,-111,20," "," "," ",3,4,-3,0,25,0,6
822,"Simon Moser",NSH,C,-111,6," "," "," ",1,1,0,2,7,0,1
823,"Kris Newbury",WSH,C,-111,4," "," "," ",0,1,0,7,1,0,0
824,"Tye McGinn",PHI,LW,-112,18," "," "," ",4,1,-1,4,16,0,7
825,"Harrison Zolnierczyk",PIT,LW,-112,13," "," "," ",2,0,0,12,12,0,5
826,"Mark Stone",OTT,RW,-112,19," "," "," ",4,4,5,4,36,1,7
827,"Travis Morin",DAL,C,-112,4," "," "," ",0,1,2,0,4,0,1
828,"Dana Tyrell",CBJ,C/LW,-113,7," "," "," ",0,0,0,4,4,0,3
829,"Sean Collins",CBJ,C,-113,6," "," "," ",0,1,1,0,6,0,1
830,"Paul Carey",COL,C,-113,12," "," "," ",0,0,2,0,6,0,2
831,"Cedric Paquette",TBL,C,-113,2," "," "," ",0,1,1,0,1,0,4
832,"John McCarthy",SJS,LW,-113,36," "," "," ",1,1,-11,4,49,0,17
833,"Jayson Megna",PIT,RW,-113,36," "," "," ",5,4,1,6,36,0,13
834,"Devante Smith-Pelly",ANA,RW,-113,19," "," "," ",2,8,5,2,23,0,13
835,"Lane MacDermid",CGY,LW,-114,7," "," "," ",0,2,1,12,1,0,3
836,"Marek Mazanec",NSH,G,-114,26,8,2,0.902," "," "," "," "," "," "," "
837,"Tyler Pitlick",EDM,C/RW,-114,11," "," "," ",1,0,-2,0,9,0,4
838,"Cody Bass",CHI,C,-114,1," "," "," ",0,0,0,5,0,0,0
839,"David Steckel",ANA,C,-114,6," "," "," ",0,0,0,0,8,0,3
840,"Vladislav Namestnikov",TBL,C,-114,4," "," "," ",0,0,-1,4,4,0,1
841,"Zach Boychuk",CAR,LW/RW,-114,11," "," "," ",1,3,2,0,15,0,2
842,"Corban Knight",CGY,C,-114,7," "," "," ",1,0,-1,0,4,0,4
843,"Nicolas Deslauriers",BUF,LW,-114,17," "," "," ",1,0,-10,18,30,0,3
844,"Andrew Ebbett",PIT,C,-114,9," "," "," ",0,1,-4,0,9,0,7
845,"Landon Ferraro",DET,C,-114,4," "," "," ",0,0,0,2,2,0,2
846,"Anton Lander",EDM,C,-114,27," "," "," ",0,1,-10,4,18,0,8
847,"Adam Payerl",PIT,C,-114,2," "," "," ",0,0,-1,2,4,0,2
848,"Matt Carey",CHI,C,-114,2," "," "," ",1,0,-1,2,1,0,0
849,"Brett Gallant",NYI,LW,-115,4," "," "," ",0,0,0,17,3,0,0
850,"Chris Mueller",NYR,C,-115,9," "," "," ",0,0,-2,0,8,0,4
851,"Gilbert Brule",ARI,C,-115,3," "," "," ",0,0,-1,2,3,0,1
852,"Nick Drazenovic",PIT,C,-115,1," "," "," ",0,0,-1,2,3,0,0
853,"Freddie Hamilton",SJS,C,-115,11," "," "," ",0,0,-5,2,13,0,3
854,"MichaËl Bournival",MTL,LW,-115,5," "," "," ",1,1,4,0,11,0,3
855,"John Albert",WPG,C,-115,9," "," "," ",1,0,-3,0,5,0,3
856,"Brett Sutter",CAR,LW,-115,16," "," "," ",1,1,-3,9,15,0,2
857,"Chuck Kobasew",PIT,RW,-116,32," "," "," ",2,0,1,15,35,0,18
858,"Peter Leblanc",WSH,C,-116,1," "," "," ",0,0,0,0,0,0,1
859,"Joonas Nattinen",MTL,C,-116,1," "," "," ",0,0,0,0,0,0,1
860,"Pierre-Cedric Labrie",TBL,LW,-116,13," "," "," ",0,0,-4,20,2,0,2
861,"Martin St Pierre",MTL,C,-116,1," "," "," ",0,0,0,0,0,0,1
862,"Greg Mckegg",TOR,C,-116,1," "," "," ",0,0,0,0,1,0,0
863,"Gabriel Dumont",MTL,C,-116,2," "," "," ",0,0,0,0,1,0,0
864,"Kevin Porter",DET,C,-116,12," "," "," ",0,1,-5,2,3,0,4
865,"Pierre-Marc Bouchard",CHI,RW,-116,28," "," "," ",4,5,-9,12,51,0,6
866,"Mark Van Guilder",NSH,C,-116,1," "," "," ",0,0,0,0,0,0,0
867,"Matt Lindblad",BOS,C,-116,2," "," "," ",0,0,0,0,0,0,0
868,"Brad Mills",CHI,C,-116,3," "," "," ",0,0,-1,0,2,0,1
869,"Ryan Stoa",WSH,C,-116,3," "," "," ",0,0,-1,0,2,0,1
870,"Linus Omark",BUF,LW,-116,14," "," "," ",0,2,-6,6,10,2,3
871,"Jake Dowell",MIN,C,-116,1," "," "," ",0,0,-1,0,1,0,0
872,"Chris Terry",CAR,LW,-116,10," "," "," ",0,2,-4,0,13,2,6
873,"Bill Arnold",CGY,C,-116,1," "," "," ",0,0,-1,0,0,0,0
874,"Ryan Craig",CBJ,C,-117,6," "," "," ",0,0,-3,0,4,0,1
875,"Carter Ashton",TOR,RW,-117,32," "," "," ",0,3,1,19,23,0,7
876,"Darroll Powe",NYR,C/RW,-117,1," "," "," ",0,0,-2,0,0,0,0
877,"John Persson",NYI,LW,-117,10," "," "," ",1,0,-4,6,16,0,6
878,"David Broll",TOR,LW,-118,5," "," "," ",0,1,1,5,3,0,2
879,"Rostislav Olesz",NJD,LW,-118,10," "," "," ",0,2,-1,0,9,1,1
880,"Cam Janssen",NJD,RW,-118,24," "," "," ",3,0,3,22,11,0,3
881,"Brandon Mashinter",NYR,LW,-118,6," "," "," ",0,0,-1,10,3,0,1
882,"Chris Porter",STL,LW,-118,22," "," "," ",0,1,-3,0,24,0,3
883,"Michael Zalewski",VAN,LW,-118,2," "," "," ",0,1,2,0,2,1,0
884,"Patrick Eaves",NSH,RW,-118,30," "," "," ",2,3,-7,2,53,3,5
885,"Taylor Beck",NSH,LW,-119,7," "," "," ",0,0,-2,6,9,0,5
886,"Ben Eager",EDM,LW,-119,7," "," "," ",0,1,1,2,4,0,2
887,"Kenny Agostino",CGY,LW,-119,8," "," "," ",1,1,-2,0,12,0,3
888,"Justin Florek",BOS,LW,-119,4," "," "," ",1,1,1,0,5,0,0
889,"Carl Klingberg",WPG,LW,-120,3," "," "," ",1,0,2,0,3,0,1
890,"Josh Leivo",TOR,LW,-120,7," "," "," ",1,1,0,0,4,0,0
891,"Mattias Tedenby",NJD,LW,-120,15," "," "," ",1,0,-8,10,9,0,2
892,"Bryce Van Brabant",CGY,LW,-121,6," "," "," ",0,0,-1,2,4,0,4
893,"Johnny Gaudreau",CGY,LW,-121,1," "," "," ",1,0,1,0,1,0,0
894,"Teemu Pulkkinen",DET,LW,-121,3," "," "," ",0,0,0,2,4,0,0
895,"Roman Horak",EDM,LW,-121,3," "," "," ",1,0,-1,0,2,0,4
896,"Michael Hutchinson",WPG,G,-121,4,2,0,0.943," "," "," "," "," "," "," "
897,"Alexander Khokhlachev",BOS,LW,-121,1," "," "," ",0,0,0,2,2,0,0
898,"David Van Der Gulik",COL,LW,-122,2," "," "," ",0,0,0,0,3,0,2
899,"Jordan Szwarz",ARI,RW,-122,26," "," "," ",3,0,-6,19,25,0,7
900,"Mikael Samuelsson",DET,RW,-122,26," "," "," ",1,2,-4,6,36,2,3
901,"Craig Cunningham",BOS,LW,-122,2," "," "," ",0,0,0,0,4,0,0
902,"Teuvo Teravainen",CHI,LW,-122,3," "," "," ",0,0,0,0,4,0,0
903,"Jack Skille",CBJ,RW,-122,16," "," "," ",4,0,2,6,23,0,6
904,"Garrett Wilson",FLA,LW,-122,3," "," "," ",0,0,-1,0,4,0,2
905,"Pascal Pelletier",VAN,LW,-122,3," "," "," ",0,0,0,0,1,0,1
906,"Lucas Lessio",ARI,LW,-122,3," "," "," ",0,0,-2,2,4,0,0
907,"Christian Thomas",MTL,LW,-123,2," "," "," ",0,0,-1,0,1,0,1
908,"Nicolas Deschamps",WSH,LW,-123,3," "," "," ",0,0,-1,0,2,0,0
909,"Jamie Devane",TOR,LW,-123,2," "," "," ",0,0,-1,0,1,0,0
910,"Jhonas Enroth",BUF,G,-123,29,4,0,0.911," "," "," "," "," "," "," "
911,"Spencer Abbott",TOR,LW,-124,1," "," "," ",0,0,-2,0,2,0,0
912,"Ryan Hamilton",EDM,LW,-124,2," "," "," ",0,0,-2,0,0,0,1
913,"Antti Raanta",CHI,G,-124,26,13,1,0.897," "," "," "," "," "," "," "
914,"Kristers Gudlevskis",TBL,G,-125,2,1,0,0.947," "," "," "," "," "," "," "
915,"Niklas Svedberg",BOS,G,-125,2,1,0,0.943," "," "," "," "," "," "," "
916,"John Curry",MIN,G,-125,3,1,0,0.93," "," "," "," "," "," "," "
917,"Matt Fraser",BOS,RW,-126,14," "," "," ",2,0,0,10,13,0,5
918,"Chris Conner",PIT,RW,-126,19," "," "," ",4,1,-3,2,17,0,10
919,"Casey Wellman",WSH,RW,-126,13," "," "," ",2,1,3,0,15,0,5
920,"Steven Pinizzotto",EDM,RW,-127,6," "," "," ",0,2,-1,15,2,0,1
921,"Linden Vey",LAK,RW,-127,18," "," "," ",0,5,0,0,8,1,1
922,"Dmitrij Jaskin",STL,RW,-127,18," "," "," ",1,1,-3,8,18,0,5
923,"Darren Archibald",VAN,RW,-128,16," "," "," ",1,2,1,0,11,0,9
924,"Adam Cracknell",STL,RW,-128,19," "," "," ",0,2,0,0,16,0,8
925,"Andrew Hammond",OTT,G,-129,1,0,0,1," "," "," "," "," "," "," "
926,"Drew MacIntyre",CAR,G,-129,3,0,0,0.922," "," "," "," "," "," "," "
927,"Richard Bachman",EDM,G,-129,3,0,0,0.916," "," "," "," "," "," "," "
928,"Eriah Hayes",SJS,RW,-129,15," "," "," ",1,0,-2,2,17,0,10
929,"Jerry D'amigo",TOR,RW,-130,22," "," "," ",1,2,-1,0,12,0,4
930,"Joey Crabb",FLA,RW,-130,9," "," "," ",0,1,-2,7,5,0,5
931,"Mike Sislo",NJD,RW,-131,14," "," "," ",0,0,-1,0,20,0,4
932,"Ben Hanowski",CGY,RW,-132,11," "," "," ",0,2,-2,2,10,0,1
933,"Adam Burish",SJS,RW,-132,15," "," "," ",0,0,-4,6,9,0,9
934,"Jordin Tootoo",DET,RW,-132,11," "," "," ",0,1,-3,5,11,0,1
935,"Bobby Butler",FLA,RW,-132,2," "," "," ",0,1,1,2,5,0,0
936,"Arron Asham",NYR,RW,-132,6," "," "," ",0,0,-5,14,1,0,1
937,"Jerred Smithson",TOR,RW,-132,18," "," "," ",0,0,-5,9,2,0,9
938,"Justin Johnson",NYI,RW,-133,2," "," "," ",0,0,-1,7,0,0,0
939,"Jason Akeson",PHI,RW,-133,1," "," "," ",0,1,1,0,2,0,0
940,"Mike Blunden",MTL,RW,-134,7," "," "," ",0,0,-2,5,2,0,3
941,"Brett Connolly",TBL,RW,-134,11," "," "," ",1,0,-5,4,12,0,1
942,"Patrick Kaleta",BUF,RW,-134,5," "," "," ",0,0,-1,5,0,0,1
943,"Brett Bulmer",MIN,RW,-134,5," "," "," ",0,0,-2,2,7,0,2
944,"Patrick Holland",MTL,RW,-134,5," "," "," ",0,0,0,0,2,0,4
945,"Cody Kunyk",TBL,RW,-135,1," "," "," ",0,0,0,0,2,0,1
946,"Jesper Fast",NYR,RW,-135,11," "," "," ",0,0,-5,2,7,0,7
947,"Carson McMillan",MIN,RW,-135,1," "," "," ",0,0,0,0,0,0,2
